dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle,predicted_trips,predicted_trips_per_vehicle
B02598,2/7/2015,1031,10512,2015-02-07,5,Saturday,1,2,1,11897.0,11642.0,10040.0,10480.0,1160.4151555944634,9159.42857142857,2467.1415635316703,10.19592628516004,10514.524,10.198374795404947
B02598,2/8/2015,923,8129,2015-02-08,6,Sunday,1,2,1,10512.0,9499.0,7219.0,10318.57142857143,1044.6487220022534,9193.142857142857,2483.2727740483265,8.807150595882991,8131.108,8.809434355532233
B02598,2/9/2015,976,8135,2015-02-09,0,Monday,0,2,1,8129.0,9511.0,5919.0,10122.857142857143,1316.696804959466,9258.142857142857,2439.1419947042177,8.335040983606557,8134.994,8.335034980148565
B02598,2/10/2015,1029,8718,2015-02-10,1,Tuesday,0,2,1,8135.0,9602.0,2957.0,9926.285714285714,1511.5592076049247,9416.42857142857,2271.9559758155424,8.472303206997085,8716.736,8.471075148809524
B02598,2/11/2015,1115,10034,2015-02-11,2,Wednesday,0,2,1,8718.0,9600.0,8071.0,9800.0,1578.60824779297,9827.92857142857,1344.3936273557388,8.999103139013453,10036.211,9.001086042600896
B02598,2/12/2015,1181,11640,2015-02-12,3,Thursday,0,2,1,10034.0,11609.0,9499.0,9862.0,1577.9666240661293,9968.142857142857,1245.8099532273911,9.856054191363253,11641.496,9.857320993861135
B02598,2/13/2015,1216,13062,2015-02-13,4,Friday,0,2,1,11640.0,11897.0,11167.0,9866.42857142857,1583.7197623677855,10121.07142857143,1313.36745483835,10.741776315789474,13061.011,10.740962781404194
B02598,2/14/2015,1111,12678,2015-02-14,5,Saturday,1,2,1,13062.0,10512.0,11642.0,10032.857142857143,1868.3137163916367,10256.42857142857,1512.0728367827585,11.411341134113412,12676.6875,11.410159765976598
B02598,2/15/2015,1003,11517,2015-02-15,6,Sunday,1,2,1,12678.0,8129.0,9499.0,10342.285714285714,2122.9129919590573,10330.42857142857,1607.4411444799548,11.482552342971086,11517.5205,11.483071293930708
B02598,2/16/2015,934,9052,2015-02-16,0,Monday,0,2,1,11517.0,8135.0,9511.0,10826.285714285714,1909.715747983249,10474.57142857143,1617.5972073648986,9.691648822269809,9051.622,9.691244186630085
B02598,2/17/2015,1066,9463,2015-02-17,1,Tuesday,0,2,1,9052.0,8718.0,9602.0,10957.285714285714,1715.9559740162,10441.785714285714,1643.0801365620696,8.877110694183864,9456.826,8.871319110576923
B02598,2/18/2015,1078,9538,2015-02-18,2,Wednesday,0,2,1,9463.0,10034.0,9600.0,11063.714285714286,1570.893027790844,10431.857142857143,1648.9544872733434,8.847866419294991,9540.976,8.850626703096012
B02598,2/19/2015,1127,11739,2015-02-19,3,Thursday,0,2,1,9538.0,11640.0,11609.0,10992.857142857143,1634.9605936710288,10427.42857142857,1651.441827582826,10.416149068322982,12095.963,10.732886327085183
B02598,2/20/2015,1186,12758,2015-02-20,4,Friday,0,2,1,11739.0,13062.0,11897.0,11007.0,1641.9049911611755,10436.714285714286,1658.945050723102,10.75716694772344,12641.142,10.658635414470911
B02598,2/21/2015,1044,12132,2015-02-21,5,Saturday,1,2,1,12758.0,12678.0,10512.0,10963.57142857143,1581.3963088720886,10498.214285714286,1731.6125067769542,11.620689655172416,11837.779,11.338869058309387
B02598,2/22/2015,909,8271,2015-02-22,6,Sunday,1,2,1,12132.0,11517.0,8129.0,10885.57142857143,1493.7791957696647,10613.92857142857,1785.8820903574049,9.0990099009901,9041.771,9.946943327145215
B02598,2/23/2015,966,8943,2015-02-23,0,Monday,0,2,1,8271.0,9052.0,8135.0,10421.857142857143,1747.394386753352,10624.07142857143,1771.0248429950066,9.25776397515528,9117.928,9.438848586309524
B02598,2/24/2015,1061,9954,2015-02-24,1,Tuesday,0,2,1,8943.0,9463.0,8718.0,10406.285714285714,1762.0601308587304,10681.785714285714,1695.214267308975,9.381715362865222,9936.8545,9.365555600553723
B02598,2/25/2015,1076,9405,2015-02-25,2,Wednesday,0,2,1,9954.0,9538.0,10034.0,10476.42857142857,1727.6896767207936,10770.07142857143,1615.379567888501,8.740706319702602,9234.71,8.582444201614777
B02598,2/26/2015,1134,10661,2015-02-26,3,Thursday,0,2,1,9405.0,11739.0,11640.0,10457.42857142857,1740.4144005708142,10725.142857142857,1645.88586655159,9.401234567901234,11324.12,9.985996576003087
B02598,2/27/2015,1114,10755,2015-02-27,4,Friday,0,2,1,10661.0,12758.0,13062.0,10303.42857142857,1653.6453526620917,10655.214285714286,1624.6872919744555,9.654398563734292,11338.476,10.178164798866696
B02598,2/28/2015,994,10319,2015-02-28,5,Saturday,1,2,1,10755.0,12132.0,12678.0,10017.285714285714,1291.8403815597935,10490.42857142857,1471.5793041326867,10.38128772635815,11252.277,11.320198534959758
B02617,1/8/2015,1463,13462,2015-01-08,3,Thursday,0,1,2,11528.0,9537.0,,9221.42857142857,1680.7283001864455,,,9.20164046479836,13457.996,9.198903686773752
B02617,1/9/2015,1455,13165,2015-01-09,4,Friday,0,1,2,13462.0,7065.0,,9782.142857142857,2332.064280744382,,,9.04810996563574,13167.3955,9.049756362757732
B02617,1/10/2015,1331,13856,2015-01-10,5,Saturday,1,1,2,13165.0,10664.0,,10653.57142857143,2286.783975888617,,,10.410217881292262,13856.115,10.410304458583772
B02617,1/11/2015,1228,10932,2015-01-11,6,Sunday,1,1,2,13856.0,7729.0,,11109.57142857143,2587.6686326461804,,,8.90228013029316,10929.592,8.900319052829804
B02617,1/12/2015,1323,10662,2015-01-12,0,Monday,0,1,2,10932.0,7899.0,,11567.142857142857,2133.6135567444758,,,8.058956916099774,10666.45,8.06232063137755
B02617,1/13/2015,1342,11825,2015-01-13,1,Tuesday,0,1,2,10662.0,10128.0,,11961.857142857143,1504.839795301749,,,8.811475409836065,11821.291,8.808711636084203
B02617,1/14/2015,1405,11965,2015-01-14,2,Wednesday,0,1,2,11825.0,11528.0,,12204.285714285714,1280.0750908033633,,,8.516014234875446,11967.084,8.517497497775802
B02617,1/15/2015,1457,12539,2015-01-15,3,Thursday,0,1,2,11965.0,13462.0,9537.0,12266.714285714286,1251.9429851615605,10744.07142857143,2126.9593849612475,8.606039807824297,12539.744,8.606550542638985
B02617,1/16/2015,1445,12977,2015-01-16,4,Friday,0,1,2,12539.0,13165.0,7065.0,12134.857142857143,1149.4850192689814,10958.5,2147.13518437941,8.980622837370243,12975.675,8.979705747188582
B02617,1/17/2015,1306,12676,2015-01-17,5,Saturday,1,1,2,12977.0,13856.0,10664.0,12108.0,1123.3028680339662,11380.785714285714,1888.2411506100452,9.705972434915774,12674.77,9.705030268950996
B02617,1/18/2015,1223,12879,2015-01-18,6,Sunday,1,1,2,12676.0,10932.0,7729.0,11939.42857142857,879.3048119855558,11524.5,1905.9735146275104,10.530662305805397,12877.117,10.52912280253475
B02617,1/19/2015,992,7775,2015-01-19,0,Monday,0,1,2,12879.0,10662.0,7899.0,12217.57142857143,812.9575341805704,11892.357142857143,1587.449362348918,7.837701612903226,7777.7974,7.8405215355657765
B02617,1/20/2015,1350,10015,2015-01-20,1,Tuesday,0,1,2,7775.0,11825.0,10128.0,11805.142857142857,1829.9069583425485,11883.5,1611.6062579827735,7.4185185185185185,10016.612,7.419712818287037
B02617,1/21/2015,1429,10997,2015-01-21,2,Wednesday,0,1,2,10015.0,11965.0,11528.0,11546.57142857143,1950.536666077899,11875.42857142857,1621.3283117572155,7.695591322603219,10996.269,7.695079464441918
B02617,1/22/2015,1471,12143,2015-01-22,3,Thursday,0,1,2,10997.0,12539.0,13462.0,11408.285714285714,1950.2412427086824,11837.5,1636.2236423216464,8.254928619986403,12143.525,8.25528578560503
B02617,1/23/2015,1482,13121,2015-01-23,4,Friday,0,1,2,12143.0,12977.0,13165.0,11351.714285714286,1917.4433250455943,11743.285714285714,1572.2111537856229,8.85357624831309,13124.787,8.856131652749662
B02617,1/24/2015,1367,14143,2015-01-24,5,Saturday,1,1,2,13121.0,12676.0,13856.0,11372.285714285714,1938.4439390299383,11740.142857142857,1569.1916026139995,10.346013167520118,14139.368,10.343356374588515
B02617,1/25/2015,1203,10362,2015-01-25,6,Sunday,1,1,2,14143.0,12879.0,10932.0,11581.857142857143,2168.530026582633,11760.642857142857,1600.521482668547,8.613466334164588,10361.842,8.613334826995013
B02617,1/26/2015,1150,7608,2015-01-26,0,Monday,0,1,2,10362.0,7775.0,10662.0,11222.285714285714,2125.8553348621595,11719.92857142857,1630.1968481555443,6.615652173913044,7608.768,6.6163200577445656
B02617,1/27/2015,596,4325,2015-01-27,1,Tuesday,0,1,2,7608.0,10015.0,11825.0,11198.42857142857,2171.438222096349,11501.785714285714,1954.690185113801,7.256711409395973,4323.2437,7.253764517355285
B02617,1/28/2015,1356,10862,2015-01-28,2,Wednesday,0,1,2,4325.0,10997.0,11965.0,10385.57142857143,3403.6554789002403,10966.07142857143,2732.349044722838,8.010324483775811,10859.824,8.008719925331858
B02617,1/29/2015,1474,12600,2015-01-29,3,Thursday,0,1,2,10862.0,12143.0,12539.0,10366.285714285714,3399.994103636345,10887.285714285714,2717.1899916180782,8.548168249660787,12601.366,8.549095122752714
B02617,1/30/2015,1501,14793,2015-01-30,4,Friday,0,1,2,12600.0,13121.0,12977.0,10431.57142857143,3443.900156176757,10891.642857142857,2720.089693293301,9.855429713524318,14791.443,9.854392644487008
