dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle
B02764,1/20/2015,3654,26137,2015-01-20,1,Tuesday,0,1,4,22750.0,29983.0,25301.0,31402.714285714286,4663.4709074638695,31127.5,4550.818062553318,7.152983032293377
B02765,1/20/2015,272,1608,2015-01-20,1,Tuesday,0,1,5,1568.0,1697.0,1376.0,1884.4285714285713,288.9168606726722,1843.2857142857142,272.99575329788803,5.911764705882353
B02512,1/21/2015,242,1519,2015-01-21,2,Wednesday,0,1,0,1310.0,1582.0,1446.0,1405.142857142857,213.19899043806384,1458.2142857142858,215.4066560543741,6.276859504132231
B02598,1/21/2015,1035,8041,2015-01-21,2,Wednesday,0,1,1,7206.0,8870.0,8397.0,8523.42857142857,1547.2603591663617,8695.714285714286,1320.1446557434203,7.769082125603865
B02617,1/21/2015,1429,10997,2015-01-21,2,Wednesday,0,1,2,10015.0,11965.0,11528.0,11546.57142857143,1950.536666077899,11875.42857142857,1621.3283117572155,7.695591322603219
B02682,1/21/2015,1228,9472,2015-01-21,2,Wednesday,0,1,3,8496.0,9762.0,9078.0,9928.57142857143,1641.384360546796,9878.357142857143,1335.9333589518756,7.713355048859935
B02764,1/21/2015,3718,27344,2015-01-21,2,Wednesday,0,1,4,26137.0,29550.0,29949.0,30853.285714285714,5067.655957616094,31187.214285714286,4473.308467214969,7.35449166218397
B02765,1/21/2015,296,1774,2015-01-21,2,Wednesday,0,1,5,1608.0,1600.0,1704.0,1871.7142857142858,300.2747154888414,1859.857142857143,248.3802473079276,5.993243243243243
B02512,1/22/2015,246,1551,2015-01-22,3,Thursday,0,1,0,1519.0,1636.0,1772.0,1396.142857142857,205.68619186471815,1463.4285714285713,215.9710501560208,6.304878048780488
B02598,1/22/2015,1071,9080,2015-01-22,3,Thursday,0,1,1,8041.0,9152.0,10050.0,8405.0,1548.038328552193,8670.285714285714,1329.734874012424,8.478057889822596
B02617,1/22/2015,1471,12143,2015-01-22,3,Thursday,0,1,2,10997.0,12539.0,13462.0,11408.285714285714,1950.2412427086822,11837.5,1636.2236423216464,8.254928619986403
B02682,1/22/2015,1295,10699,2015-01-22,3,Thursday,0,1,3,9472.0,10391.0,10416.0,9887.142857142857,1649.9269103580937,9906.5,1321.8518333121797,8.261776061776061
B02764,1/22/2015,3889,30091,2015-01-22,3,Thursday,0,1,4,27344.0,31214.0,33802.0,30538.14285714286,5228.258933544747,31001.14285714286,4581.641943790336,7.737464643867318
B02765,1/22/2015,295,2038,2015-01-22,3,Thursday,0,1,5,1774.0,1797.0,1911.0,1896.5714285714287,280.58977003379675,1864.857142857143,245.69144412104734,6.908474576271186
B02512,1/23/2015,246,1670,2015-01-23,4,Friday,0,1,0,1551.0,1481.0,1560.0,1384.0,191.16223476408754,1447.642857142857,199.09974583411386,6.788617886178862
B02598,1/23/2015,1093,9343,2015-01-23,4,Friday,0,1,1,9080.0,9838.0,9538.0,8394.714285714286,1542.47698138262,8601.0,1276.5211137486742,8.548032936870998
B02617,1/23/2015,1482,13121,2015-01-23,4,Friday,0,1,2,12143.0,12977.0,13165.0,11351.714285714286,1917.4433250455943,11743.285714285714,1572.2111537856229,8.85357624831309
B02682,1/23/2015,1330,11767,2015-01-23,4,Friday,0,1,3,10699.0,11280.0,10477.0,9931.142857142857,1669.592807500421,9926.714285714286,1332.3647241809429,8.847368421052632
