dispatching_base_number,date,active_vehicles,trips,trip_date
B02765,1/31/2015,309,3282,2015-01-31
B02512,1/31/2015,225,1892,2015-01-31
B02617,1/31/2015,1394,15756,2015-01-31
B02682,1/31/2015,1321,15388,2015-01-31
B02764,1/31/2015,3947,44297,2015-01-31
B02598,1/31/2015,1027,11642,2015-01-31
B02598,2/1/2015,961,9499,2015-02-01
B02682,2/1/2015,1214,12436,2015-02-01
B02512,2/1/2015,193,1377,2015-02-01
B02765,2/1/2015,289,2672,2015-02-01
B02617,2/1/2015,1355,13458,2015-02-01
B02764,2/1/2015,3740,37468,2015-02-01
B02617,2/2/2015,1217,12216,2015-02-02
B02682,2/2/2015,1152,11981,2015-02-02
B02765,2/2/2015,275,2607,2015-02-02
B02598,2/2/2015,939,9511,2015-02-02
B02764,2/2/2015,3270,30761,2015-02-02
B02512,2/2/2015,227,1904,2015-02-02
B02765,2/3/2015,299,2410,2015-02-03
B02598,2/3/2015,991,9602,2015-02-03
B02512,2/3/2015,257,1915,2015-02-03
B02764,2/3/2015,3674,31641,2015-02-03
B02617,2/3/2015,1350,12665,2015-02-03
B02682,2/3/2015,1269,11955,2015-02-03
B02764,2/4/2015,3856,29994,2015-02-04
B02765,2/4/2015,309,2334,2015-02-04
B02512,2/4/2015,244,1639,2015-02-04
B02682,2/4/2015,1311,11309,2015-02-04
B02617,2/4/2015,1393,11959,2015-02-04
B02598,2/4/2015,1072,9600,2015-02-04
B02617,2/5/2015,1524,14499,2015-02-05
B02682,2/5/2015,1418,13782,2015-02-05
B02598,2/5/2015,1179,11609,2015-02-05
B02512,2/5/2015,264,2022,2015-02-05
B02765,2/5/2015,355,3011,2015-02-05
B02764,2/5/2015,4093,35990,2015-02-05
B02617,2/6/2015,1526,15417,2015-02-06
B02765,2/6/2015,385,3569,2015-02-06
B02598,2/6/2015,1181,11897,2015-02-06
B02512,2/6/2015,261,1989,2015-02-06
B02764,2/6/2015,4170,38693,2015-02-06
B02682,2/6/2015,1414,14375,2015-02-06
